codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
ER,"['""0""', '""0""', '""0""', '""44""', '""55""', '""0""', '""0""', '""0""', '""20""']",120,10,132
EE,"['""171""', '""1,277""', '""1,890""', '""2,581""', '""8""', '""0""', '""1,750""', '""0""', '""1,315""']",8995,901,4078
SZ,"['""0""', '""0""', '""0""', '""169""', '""324""', '""0""', '""86""', '""0""', '""9""']",589,22,79
ET,"['""0""', '""0""', '""31""', '""677""', '""4,999""', '""6,107""', '""3,345""', '""0""', '""928""']",16089,32,10659
FM,"['""0""', '""9""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",9,3,0
FJ,"['""0""', '""5""', '""136""', '""83""', '""144""', '""0""', '""0""', '""0""', '""96""']",467,17,202
FI,"['""31""', '""1,485""', '""717""', '""15,788""', '""16""', '""1,083""', '""5,554""', '""0""', '""26,446""']",51123,448,267604
FR,"['""3,956""', '""123,164""', '""415""', '""49,375""', '""965""', '""23,643""', '""14,188""', '""0""', '""8,046""']",223754,4893,137009
GA,"['""0""', '""0""', '""0""', '""212""', '""0""', '""178""', '""0""', '""0""', '""75""']",467,12,291
GE,"['""0""', '""11""', '""335""', '""1,419""', '""6""', '""1,572""', '""966""', '""0""', '""2,210""']",6523,77,2708
DE,"['""929""', '""23,807""', '""1,563""', '""45,512""', '""883""', '""6,164""', '""13,500""', '""159""', '""50,463""']",142984,10152,127662
GH,"['""0""', '""10""', '""0""', '""0""', '""3,940""', '""68""', '""1,164""', '""0""', '""452""']",5636,33,5043
GR,"['""9""', '""94""', '""0""', '""53""', '""9,049""', '""2""', '""3,362""', '""0""', '""426""']",12998,6928,14201
GD,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
GT,"['""0""', '""0""', '""0""', '""631""', '""110""', '""1,688""', '""0""', '""0""', '""141""']",2571,57,2705
GN,"['""0""', '""0""', '""1""', '""410""', '""0""', '""584""', '""0""', '""0""', '""145""']",1141,17,1055
GW,"['""0""', '""0""', '""0""', '""0""', '""0""', '""146""', '""0""', '""0""', '""0""']",146,0,0
GY,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""5""']",5,6,146
HT,"['""0""', '""0""', '""0""', '""102""', '""0""', '""0""', '""0""', '""0""', '""83""']",185,5,51
HN,"['""0""', '""0""', '""0""', '""17""', '""833""', '""830""', '""0""', '""0""', '""50""']",1733,48,2006
HU,"['""413""', '""30,279""', '""499""', '""13""', '""6,633""', '""1,026""', '""2,440""', '""0""', '""5,715""']",47023,891,7923
IS,"['""0""', '""9""', '""63""', '""991""', '""1,324""', '""1,101""', '""0""', '""0""', '""4,309""']",7799,54,2888
